sequence_name,cv_specificity,fc_specificity,most_active_cell_line,max_activity,entropy_specificity,mean_activity_all_cells,cv_specificity_norm,fc_specificity_norm,entropy_specificity_norm,composite_specificity_score
gemstone_whitish_moose,1.4281947051656627,15.100664773666693,K562,9.918151983772455,0.597787114855234,3.7439188890222312,1.0,0.9999999999999999,0.597787114855234,0.8793361344565701
mucky_abasic_redhead,1.4043261659476618,13.852781472831358,WTC11,7.85818816861059,0.5756287893300505,2.99757224577828,0.9823547263426824,0.9109524439856211,0.5756287893300505,0.8317760322960683
boarish_quixotic_redpoll,1.2991666403987192,9.975365630816466,HepG2,4.533271005092353,0.48723771068973676,1.814054735726562,0.9046135378670437,0.6342643881780521,0.48723771068973676,0.671261129838255
trusting_lazuline_mammal,1.2933632076067658,9.843670016648504,WTC11,4.892289287211,0.48025749612035606,1.9620954327574214,0.9003232392932358,0.6248667365133336,0.48025749612035606,0.664120915229411
baggy_balanced_cavy,1.2842325155930097,9.587847505261067,HepG2,3.61086192983249,0.4742157192781603,1.454692772369463,0.8935732007679662,0.6066115283562385,0.4742157192781603,0.6529812873563334
grouchy_diagonal_bear,1.2474339773903658,8.70362544688319,HepG2,3.3438844254919933,0.4459926974296744,1.370757762442916,0.8663691783163027,0.5435144316807353,0.4459926974296744,0.6111143353960872
kneedeep_crazy_halcyon,1.2339048657361895,8.388585045132471,K562,3.20845485728861,0.43797009158700495,1.324470732909908,0.8563675240341542,0.5210335011298493,0.43797009158700495,0.5967146851382874
flimsy_novel_lice,1.215679752469372,8.062302083776258,WTC11,6.525513791490887,0.4207430117483951,2.714761877336923,0.8428942608364604,0.4977503141055053,0.4207430117483951,0.5781913074176588
zippered_grownup_eyra,1.2020684966934758,7.790394140214463,HepG2,3.573713942983377,0.4120840063712434,1.4970602435280629,0.832831879942857,0.4783472675074256,0.4120840063712434,0.5648136728972004
normal_scarred_seabird,1.1988061015073719,7.698876153380961,HepG2,2.975906057398237,0.41262780697117696,1.2496605010817738,0.8304200919691,0.47181664637208054,0.41262780697117696,0.5616410282309152
slippery_crumbly_bats,1.194814965281696,7.644497208232981,K562,3.946735146896527,0.40812073920242153,1.6597680252440938,0.8274695682582659,0.46793622569426074,0.40812073920242153,0.5578515825159105
heroic_voltaic_antbear,1.1942366722949136,7.661071929547852,WTC11,3.7862906821307702,0.4052568547186418,1.5915800017992634,0.827042054118725,0.4691189792608167,0.4052568547186418,0.5573372643555368
agrarian_mopey_pig,1.184846483849891,7.4936183666053235,HepG2,3.26382758946942,0.3987442358525273,1.3783076049039484,0.820100177898615,0.4571696803833091,0.3987442358525273,0.5485211962786664
depleted_rhyolite_nandu,1.178434889390326,7.184152698248318,HepG2,3.1587909626065134,0.4133843739570512,1.3460561396242128,0.8153602841922819,0.43508655656948714,0.4133843739570512,0.5426580200725948
charming_queasy_hydra,1.0956221509215112,6.0508570767505905,K562,3.2446407348067297,0.3493583417391748,1.4390324373331043,0.7541393850309254,0.3542158491334513,0.3493583417391748,0.4727356576844105
binding_lucid_gemsbok,1.0945194092249186,6.036717021677357,WTC11,5.36681247705915,0.3486563301973312,2.3816230484025125,0.7533241621623623,0.353206830625601,0.3486563301973312,0.4718768799581484
sylphic_jazzy_redhead,1.0933510944701899,6.128884691881645,WTC11,3.2181192935452767,0.3378489212928294,1.4227559051432033,0.7524604631577109,0.35978381243931473,0.3378489212928294,0.47100634031088795
catching_suffixal_hoiho,1.0730297678080154,5.7093099460132875,K562,4.644695443390817,0.34111272613065835,2.0905852088680237,0.7374375341565348,0.3298434280620889,0.34111272613065835,0.4555024493109935
peppery_docile_prawn,1.0068821736738114,5.131638517127668,HepG2,3.218313435470943,0.2879708778913086,1.4908719687346492,0.6885366613544426,0.28862144128883516,0.2879708778913086,0.4084008382892594
banal_charming_duck,0.9998133591551324,5.0230093497128365,K562,3.1598081633587536,0.28750161487184844,1.4726472206570842,0.6833109051623399,0.28086978545395674,0.28750161487184844,0.4035916701918392
dacite_fatherly_grouse,0.9854917147964842,4.915115182050183,HepG2,3.4179717361404767,0.27679641246221365,1.6029239986562274,0.672723355936012,0.2731705783789574,0.27679641246221365,0.3941241618710506
denim_illegal_tenrec,0.9260819585152583,4.130985838844967,HepG2,2.939019320485143,0.2688691448633208,1.4539778587915588,0.6288035585021504,0.21721598585829166,0.2688691448633208,0.35618820535295803
academic_lunatic_eagle,0.9203093827528821,4.393707688681906,HepG2,2.29273519536299,0.2382219914885192,1.1121266809552386,0.6245360715770223,0.23596352308704982,0.2382219914885192,0.35321282815448235
baleful_bared_basenji,0.9090798090777938,4.2245074453620814,K562,3.357172433476677,0.23943186250012638,1.6488505920756606,0.6162343946816677,0.2238895830522863,0.23943186250012638,0.3462557103754528
phobic_citied_nandoo,0.8377640776507183,3.1930459391842194,HepG2,3.3828828712617636,0.24727393498091677,1.8339297849073024,0.5635128776416353,0.150285644137033,0.24727393498091677,0.3033503014415788
cultural_lean_gonolek,0.780253592385844,3.45923215056668,WTC11,4.480266746912723,0.17085483562924242,2.3568637203542377,0.5209971525947283,0.16928039432919278,0.17085483562924242,0.27526775419886834
trivial_moudly_rasbora,0.7802023180399799,3.3978920287023056,HepG2,3.7433406985067728,0.17537661108702174,1.9822239539988749,0.5209592470548832,0.1649032318701789,0.17537661108702174,0.274862050190643
aromatic_halite_roan,0.7036335888950133,3.003935425239434,HepG2,1.0662513901663366,0.14245629341910349,0.5920514645149597,0.4643543510863426,0.13679092946929633,0.14245629341910349,0.23675956513935237
wired_cork_doe,0.706997208578491,2.5328163618010975,K562,2.550362564735977,0.173922787993257,1.5214058858626511,0.46684097120381274,0.10317240026637793,0.173922787993257,0.23349808786567208
friendly_undyed_mole,0.6849268289176046,2.9546970569509945,WTC11,1.89746826530215,0.13249849600195762,1.060614139514292,0.4505250213553387,0.1332773346040662,0.13249849600195762,0.22821798904881538
nearby_ashy_esok,0.7084646198030505,2.0526301336109714,K562,3.1859012035098266,0.19528964437457086,2.096704939455403,0.46792578298842524,0.06890684833257908,0.19528964437457086,0.22652736754193048
allied_antique_cooter,0.6779553042691593,2.929436904842122,WTC11,3.2105682395381696,0.12937026247847783,1.8008345493900066,0.44537118855865965,0.131474798414712,0.12937026247847783,0.22501235467702604
main_kilted_saiga,0.652637280037747,2.0776305647009132,HepG2,2.8577845333987,0.15619417016499326,1.869596029037625,0.4266543554108251,0.07069085112064023,0.15619417016499326,0.2031308981210016
decisive_shapely_rhea,0.6472271341780119,2.0944753114874097,K562,2.788955662615667,0.15225064185713788,1.8173700501158507,0.42265480171593306,0.07189287340270338,0.15225064185713788,0.20122878243300263
lilac_premium_fantail,0.6330743309845694,1.995846044076308,WTC11,4.170998276223607,0.14650112639326707,2.7835592181344246,0.4121920715469199,0.06485479924258915,0.14650112639326707,0.19354987907909174
newborn_topazine_wasp,0.5976952327776586,2.1762558758085393,K562,3.9436982121615602,0.12024582881381352,2.5226648842225146,0.3860373972324042,0.07772864296336539,0.12024582881381352,0.1829764249992115
frigid_giddying_sambar,0.5226430518183002,2.0051427116503855,K562,3.1809848142951367,0.08903061658401601,2.11793705435867,0.33055363848575886,0.06551819903806326,0.08903061658401601,0.15208255613615776
trendy_calx_sphinx,0.528550602750381,1.7347624509401616,K562,1.1049784364329567,0.09806862584307496,0.7929677386572097,0.33492090838397254,0.04622416617885358,0.09806862584307496,0.1483865267396557
godly_marshy_anchovy,0.5022394500448043,2.09265062727719,WTC11,3.036105860412583,0.07707464723857993,1.9792634266690732,0.31546988603656223,0.07176266597921328,0.07707464723857993,0.14646842637422794
teen_probable_anole,0.46995971359873423,2.044481833359527,HepG2,1.1245924727047731,0.06568644275841506,0.7415723879390551,0.2916064741212057,0.06832539474426937,0.06568644275841506,0.13451803296159398
windowy_real_joey,0.47344020331498793,1.696641801736092,K562,1.06866689960075,0.07616575509641532,0.7761368622717937,0.2941794926433639,0.04350391930718574,0.07616575509641532,0.12850514204480806
bleached_liquid_rhea,0.39994856960925174,1.6622901460836823,HepG2,0.6835546521236143,0.051665153712867395,0.5019932837196257,0.23984939827030421,0.04105262359800607,0.051665153712867395,0.10387541503415391
roseate_shelled_caribou,0.3856055759182424,1.8101011193091714,WTC11,3.031865560354863,0.04406794165662076,2.1272687000513586,0.22924606614212056,0.05160024925260516,0.04406794165662076,0.10263430204066447
hasty_prime_whelp,0.3026484900320633,1.354032292752728,WTC11,3.0141019595270833,0.02981521119261299,2.4887134917958913,0.16791845539452677,0.019055688112944696,0.02981521119261299,0.06694237522131981
inhumane_cold_hake,0.268650931555292,1.4636030486564309,HepG2,1.0948103124230533,0.02219115754795542,0.8636194855542706,0.1427851107216837,0.026874534648787793,0.02219115754795542,0.06024269434040685
nickelic_binding_owl,0.2823259577325279,1.2901719056604326,K562,0.5498595455409098,0.025874064404943442,0.46741379213643847,0.1528946351028963,0.014498682347345901,0.025874064404943442,0.05943008279129029
separate_resident_pygmy,0.2637670932955421,1.3826221313933995,WTC11,3.8932472017995234,0.02201613645577949,3.1749779034035988,0.13917463997589236,0.02109582700741748,0.02201613645577949,0.056795563732468544
brown_feudal_tick,0.2238331761560716,1.3987990201045952,K562,0.5047621831449384,0.015149494404980035,0.40882337605359725,0.10965272873956565,0.022250191684534557,0.015149494404980035,0.04634074361717753
dacite_culm_bilby,0.22411803078625184,1.390108058123944,K562,0.8167346411008634,0.015272259861723203,0.6639336829401437,0.10986331296745562,0.02163001436244616,0.015272259861723203,0.04619267759373211
atomic_decayed_moose,0.2266650379252776,1.296654133775874,K562,0.9496575567720696,0.016257340336203407,0.8048130514412305,0.1117462366589632,0.014961246892300814,0.016257340336203407,0.044385571855470304
foilable_dramatic_duck,0.22701205819927628,1.281840484387456,K562,0.4460643156138547,0.016363303210631064,0.3806796938860613,0.11200277802680385,0.013904161447844995,0.016363303210631064,0.04407148895036847
interior_male_hart,0.20033991858685787,1.3917066747958113,WTC11,1.7511517655356332,0.011788284332055698,1.4225682368542432,0.09228488921137244,0.021744089859360285,0.011788284332055698,0.03991958800677256
unlovely_snotty_antlion,0.2089932108300282,1.3015392076723893,K562,0.637570801770732,0.013643013433007112,0.5390963220840683,0.09868200083487434,0.01530984029934708,0.013643013433007112,0.03982144040010326
hoggish_hennish_langur,0.1715233782837237,1.3296012320676789,HepG2,0.6767405567928849,0.008672852992362201,0.564900246615962,0.07098171121368209,0.017312314959873176,0.008672852992362201,0.030821295245762558
stony_dentine_gorilla,0.14431757543890728,1.27265785518099,K562,2.4935542947238702,0.006164302291413071,2.137403496869896,0.05086930165734964,0.013248899302679112,0.006164302291413071,0.022409640905700457
milky_heavy_cougar,0.14085458116366398,1.2321749876747798,K562,0.630716593879913,0.006022182991756608,0.5514872534181948,0.04830921697423218,0.010360087176201585,0.006022182991756608,0.02044345486027727
aurous_lambskin_manatee,0.145102731702705,1.183823422201524,K562,0.6740819963396666,0.006547631885350014,0.6043012857552245,0.051449743426824124,0.006909773567564878,0.006547631885350014,0.02016312202067819
expected_sphene_oriole,0.13590425997496652,1.169389108333117,K562,0.679607354454189,0.005736726815109394,0.6139787380724746,0.04464959745297098,0.0058797570813552275,0.005736726815109394,0.017467800112966204
alchemic_fumbling_marten,0.12448088286476759,1.1433927009022418,HepG2,0.6533531009025143,0.004813806547524835,0.5987284936803182,0.036204647665336626,0.004024682536064125,0.004813806547524835,0.01391540927828409
nonfatal_smashed_cock,0.11125564198418517,1.2056607729244104,K562,0.5445885347221814,0.0036833560282799604,0.4826581800199095,0.026427635658425597,0.008468062479997762,0.0036833560282799604,0.012420522498010773
comfy_exciting_sponge,0.1063347913156419,1.1355187109685614,HepG2,0.547897845096589,0.0034877945262062893,0.504305192098613,0.022789802782262128,0.0034628034250873962,0.0034877945262062893,0.009268400562575484
reserved_kneedeep_duiker,0.08740929909995179,1.1429840251511258,HepG2,0.6103866414171367,0.0023123127180796343,0.5594815619830594,0.008798771064936262,0.00399551989175688,0.0023123127180796343,0.00493153309160752
skilled_freaky_sunbear,0.08294678741885576,1.1463176701722402,K562,2.04376188706885,0.002064867075874499,1.8698493754478767,0.005499774042423411,0.004233405070243543,0.002064867075874499,0.00396275436358679
acrylic_native_minnow,0.07581308214936376,1.1278126186582416,WTC11,0.8912492568832334,0.0017339952332704467,0.8239136614040364,0.0002260461229576169,0.0029129053006427263,0.0017339952332704467,0.0017531745271255096
carroty_purply_fox,0.07827873258371558,1.1042892592082323,K562,2.02760160954776,0.0018775781502333722,1.899943589956789,0.0020488253161061593,0.0012343046920210154,0.0018775781502333722,0.0016716429167102655
uncheery_knotty_liger,0.07787979838213496,1.092288550338314,K562,0.5550406583930533,0.0018648750846571582,0.5237766987454843,0.0017539055854154523,0.0003779475353934969,0.0018648750846571582,0.001236813215179182
deathly_acardiac_wombat,0.07550731240865739,1.0869921172960273,WTC11,0.9957542217649072,0.0017531637464335281,0.9426273304842433,0.0,0.0,0.0017531637464335281,0.0005259491239300584
